ts_utc,tier,source,symbol,name,price,change_ratio,volume,market_value
2026-08-29T19:32:03Z,core,DAY_1,ESTC,"Elastic N.V.",99.91,0.193098,10113762,1.03858e10
2026-08-29T19:32:03Z,core,DAY_1,AMZN,"Amazon",266.43,0.039686,49547427,2.87380e12
2026-08-29T19:32:03Z,core,DAY_1,GOOGL,"Alphabet",346.59,0.017437,25347206,4.23880e12
2026-08-29T19:32:03Z,core,DAY_1,MSFT,"Microsoft",513.53,0.016770,29207325,3.81324e12
2026-08-29T19:32:03Z,core,DAY_1,AAPL,"Apple",319.70,0.016276,38649398,4.66576e12
2026-08-29T19:32:03Z,core,DAY_1,META,"Meta Platforms",578.02,0.012117,16042352,1.47251e12
2026-08-29T19:32:03Z,core,DAY_1,JPM,"JPMorgan Chase",357.62,0.009599,3916485,9.50621e11
2026-08-29T19:32:03Z,core,DAY_1,SPCX,"SpaceX",141.50,0.004472,55111222,1.86522e12
2026-08-29T19:32:03Z,core,DAY_1,WMT,"Walmart",103.09,0.004482,19420840,8.20398e11
2026-08-29T19:32:03Z,core,DAY_1,NVDA,"Nvidia",217.55,-0.045750,195116417,5.24296e12
2026-08-29T19:32:03Z,core,DAY_1,AMD,"Advanced Micro Devices",465.58,-0.023266,15373949,7.60048e11
2026-08-29T19:32:03Z,core,DAY_1,TSM,"Taiwan Semi",417.52,-0.022888,8896896,2.16546e12
2026-08-29T19:32:03Z,core,DAY_1,ASML,"ASML Holding",1696.16,-0.022392,1259364,6.51495e11
2026-08-29T19:32:03Z,core,DAY_1,TSLA,"Tesla",348.75,-0.017080,32972214,1.37740e12
2026-08-29T19:32:03Z,core,MONTH_1,SPCX,"SpaceX",141.50,0.305712,55111222,1.86522e12
2026-08-29T19:32:03Z,core,MONTH_1,MU,"Micron Technology",932.86,0.133446,22890088,1.05357e12
2026-08-29T19:32:03Z,core,MONTH_1,TSLA,"Tesla",348.75,0.120626,32972214,1.37740e12
2026-08-29T19:32:03Z,core,MONTH_1,SKHY,"SK Hynix",161.04,0.120434,11711980,1.17377e12
2026-08-29T19:32:03Z,core,MONTH_1,MSFT,"Microsoft",513.53,0.107111,29207325,3.81324e12
2026-08-29T19:32:03Z,core,MONTH_1,NVDA,"Nvidia",217.55,0.083686,195116417,5.24296e12
2026-08-29T19:32:03Z,core,MONTH_1,ASML,"ASML Holding",1696.16,0.041228,1259364,6.51495e11
2026-08-29T19:32:03Z,core,MONTH_1,META,"Meta Platforms",578.02,0.038279,16042352,1.47251e12
2026-08-29T19:32:03Z,core,MONTH_1,AAPL,"Apple",319.70,0.035822,38649398,4.66576e12
2026-08-29T19:32:03Z,core,MONTH_1,TSM,"Taiwan Semi",417.52,0.032826,8896896,2.16546e12
2026-08-29T19:32:03Z,core,MONTH_1,LLY,"Eli Lilly",1174.61,0.023897,2451810,1.10573e12
2026-08-29T19:32:03Z,core,MONTH_1,JPM,"JPMorgan Chase",357.62,0.016572,3916485,9.50621e11
2026-08-29T19:32:03Z,core,MONTH_1,WMT,"Walmart",103.09,-0.070717,19420840,8.20398e11
2026-08-29T19:32:03Z,core,MONTH_1,AVGO,"Broadcom",368.79,-0.052636,16596066,1.75455e12
2026-08-29T19:32:03Z,core,NEW_HIGH,ABNB,"Airbnb",189.43,0.027300,4831671,1.13428e11
2026-08-29T19:32:03Z,core,NEW_HIGH,SCHW,"Charles Schwab",110.16,0.019500,12819930,1.90504e11
2026-08-29T19:32:03Z,core,NEW_HIGH,VZ,"Verizon",50.10,0.013600,15790820,2.08154e11
